제목1,제목2,유사도 측정(0~1)
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"[종합] ‘정준영 단톡방 멤버’ 에디킴, 음란물 유포 혐의로 공연 취소까지…퇴출 수순 밟나",0.12068965517241381
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"에디킴, 음란물 유포 여파…'그린플러그드' 출연 취소",0.06666666666666665
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"그린플러그드 측 “에디킴 출연 취소, 사안 심각해”",0.0444444444444444
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"이팔성 ""MB에 도움 기대하고 지원…금융기관장 얘기했다""",0.06521739130434778
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"[YG 쇼크]⑤ 떨고 있는 연예기획사들, 안전지대는 없다",0.11111111111111116
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"[공식] 에디킴, 결국 그린플러그드 출연 취소 ""사안 심각성 느껴""",0.08163265306122447
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"에디킴, 공연계에서도 퇴출…그린플러그드 ""출연 취소결정""",0.09090909090909094
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"이팔성 ""MB 대선자금에 쓰였으면 해 돈 줘"" 법정증언",0.04347826086956519
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"""그린플러그드 출연 취소·SNS 비공개""…에디킴, 감성 뮤지션의 몰락 [종합]",0.09259259259259256
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"유민상-EXID 하니, '짠내투어' 특별게스트…이스탄불 여행",0.08163265306122447
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"‘육군 복무’ 윤두준, 상병됐다…“모범적 군 생활로 3개월 조기진급”",0.03703703703703698
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"그린플러그드 측 “사안 심각성 느껴, 에디킴 출연 취소”(공식입장)",0.05769230769230771
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"하이라이트 윤두준, 상병 조기진급 ""모범적 군생활 인정""",0.06521739130434778
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,'모범 군인' 윤두준 “상병 3개월 조기진급”,0.0714285714285714
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"국다원 기자 - ‘조쉬♥’ 국가비, 러블리한 분위기 자아내…‘박민영 닮은꼴’",0.12244897959183676
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,[DA:이슈] 에디킴 출연취소+로이킴 퇴출 성명서…오늘의 정준영 단톡방 (종합),0.13207547169811318
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"그린플러그드 서울 ""에디킴 출연 취소…사안 심각성 느껴"" [공식입장]",0.14583333333333337
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"권미성 기자 - 배우 구원, 과거 트위터에 빅뱅 승리-부모님과 함께 찍은 다정한 셀카…다시금 재조명",0.06557377049180324
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"그린플러그드 측 ""에디킴, 출연 취소 결정…사안 심각성 느꼈다"" [공식입장]",0.13725490196078427
[정치현장] 운영위 나온 노영민 비서실장…'인사 책임' 설전,"에디킴 출연취소, 논란에 '결국'",0.05405405405405406
